id,name,state,district,latitude,longitude,area_coverage,altitude,description,source,submitted_at,user
1502,Tarlakota Sacred Grove,Odisha,,18.288224,82.051724,,,,approved,,
1503,Tagarapuvalasa Sacred Grove,Andhra Pradesh,,17.926427,83.432064,,,,approved,,
1504,Laxmivan Chamouli,Uttarakhand,,30.748890,79.355091,,,,approved,,
1505,Fulana Thaing Chamouli,Uttarakhand,,30.621659,79.435057,,,,approved,,
1506,Sivalaika Jungle Chamouli,Uttarakhand,,30.735575,78.786530,,,,approved,,
1507,Haat kali Mandir Haripur Motia Uttarakhand,Uttarakhand,,29.161922,79.486883,,,,approved,,
1508,mahdori forest,Uttarakhand,,30.065729,78.862513,,,,approved,,
1509,Gadhner Toulee,Uttarakhand,,30.494448,78.644451,,,,approved,,
1510,Shivlya Kanera,Uttarakhand,,29.925604,79.055798,,,,approved,,
1511,van panchayat uttarakhand,Uttarakhand,,30.480962,79.422571,,,,approved,,
1512,Nauntuli Devi,Uttarakhand,,30.221722,79.202831,,,,approved,,
1513,Socheng,Assam,,25.931135,92.562608,,,,approved,,
1514,Chinthong,Assam,,26.069181,93.292636,,,,approved,,
1515,Langsomepi,Assam,,26.433863,93.471927,,,,approved,,
1516,Linchika,Assam,,25.882249,92.676370,,,,approved,,
1517,Rongcheck,Assam,,25.872173,92.491512,,,,approved,,
1518,Long-e-luboi,Assam,,25.915694,92.501518,,,,approved,,
1519,Rumphum,Assam,,25.781567,92.368801,,,,approved,,
1520,Tirkim,Assam,,25.834599,92.574899,,,,approved,,
1521,Ronghidi,Assam,,25.841920,92.315474,,,,approved,,
1522,Borgaon,Assam,,26.697825,92.579607,,,,approved,,
1523,Jirkinding,Assam,,25.745332,92.814683,,,,approved,,
1524,Rongpongbong,Assam,,25.713771,92.525550,,,,approved,,
1525,Umsowai,Assam,,25.932206,92.444097,,,,approved,,
1526,Rongjangphomg,Assam,,25.724688,92.789404,,,,approved,,
1527,Kungripi,Assam,,25.896447,92.434032,,,,approved,,
1528,Longmailaidikho,Assam,,25.235069,93.099328,,,,approved,,
1529,Khedamara Chhattisgarh,Chhattisgarh,,21.271406,81.388726,,,,approved,,
1530,Budhadev Mandir Bhothali,Chhattisgarh,,20.894840,81.244825,,,,approved,,
1531,Mandar Chhattisgarh,Chhattisgarh,,19.107754,81.703488,,,,approved,,
1532,Bhimsen Kund Bendarchi,Chhattisgarh,,21.743297,81.240107,,,,approved,,
1533,Bakhari Path Chhattisgarh,Chhattisgarh,,22.364549,81.292089,,,,approved,,
